Latitude,Longitude,Metres above sea level
45.842864,5.125150,201.30
45.842861,5.125245,201.30
45.842864,5.125343,201.30
45.842859,5.125440,201.30
45.842856,5.125573,201.30
45.842853,5.125655,201.50
45.842850,5.125742,201.80
45.842860,5.125816,202.00
45.842865,5.125879,202.00
45.842867,5.125918,202.00
45.842869,5.125960,202.00
45.842876,5.125989,202.00
45.842884,5.126022,202.00
45.842892,5.126051,202.00
45.842898,5.126076,202.00
45.842908,5.126097,202.00
45.842915,5.126121,202.00
45.842924,5.126139,202.00
45.842937,5.126168,202.00
45.842945,5.126190,202.00
45.842956,5.126214,202.00
45.842970,5.126240,202.00
45.842982,5.126270,202.00
45.842998,5.126299,202.00
45.843005,5.126315,202.00
45.843017,5.126348,202.00
45.843023,5.126368,202.00
45.843030,5.126398,202.00
45.843037,5.126440,202.00
45.843041,5.126479,202.00
45.843043,5.126530,202.00
45.843041,5.126610,202.00
45.843040,5.126671,201.90
45.843038,5.126727,201.90
45.843036,5.126790,201.90
45.843034,5.126857,201.90
45.843033,5.126906,201.90
45.843033,5.126991,201.80
45.843030,5.127097,201.40
45.843030,5.127191,201.10
45.843028,5.127296,201.00
45.843027,5.127340,201.00
45.843026,5.127360,201.00
45.843022,5.127397,201.00
45.843017,5.127422,201.00
45.843014,5.127449,201.00
45.843009,5.127476,201.00
45.843002,5.127497,201.00
45.842989,5.127524,201.00
45.842980,5.127545,201.00
45.842972,5.127560,201.00
45.842953,5.127590,201.00
45.842935,5.127621,201.00
45.842912,5.127656,201.00
45.842899,5.127679,201.00
45.842888,5.127700,201.00
45.842876,5.127722,201.00
45.842866,5.127743,201.00
45.842857,5.127760,201.00
45.842852,5.127780,201.00
45.842845,5.127806,201.00
45.842841,5.127832,201.00
45.842837,5.127861,201.00
45.842836,5.127890,201.00
45.842836,5.127919,201.00
45.842835,5.127960,201.00
45.842834,5.128032,201.00
45.842833,5.128105,200.90
45.842832,5.128268,200.40
45.842827,5.128482,200.20
