distance_m,velocity_ms,velocity_kmh,time_s,acceleration_ms2,force_traction_N,force_drag_N,force_rolling_N,force_grade_N,power_electrical_W,energy_cumulative_Wh,lateral_acceleration_ms2
0.00,10.000,36.00,0.00,0.0000,36.11,3.12,15.72,17.26,424.78,0.0000,0.0172
8.86,9.795,35.26,0.89,-0.2178,-2.29,3.00,15.72,13.85,0.00,0.0000,0.0789
17.71,9.606,34.58,1.81,-0.2246,-14.51,2.88,15.72,2.83,0.00,0.0000,0.1922
26.57,9.380,33.77,2.74,-0.2189,-3.94,2.75,15.72,12.62,0.00,0.0000,0.0000
35.43,9.194,33.10,3.69,-0.2782,-26.12,2.64,15.72,0.04,0.00,0.0000,0.0043
44.28,8.840,31.82,4.68,-0.2828,-12.53,2.44,15.71,14.57,0.00,0.0000,0.1213
53.14,8.632,31.07,5.69,-0.1905,-3.55,2.33,15.71,8.90,0.00,0.0000,0.0000
62.00,8.449,30.42,6.73,-0.1703,-2.61,2.23,15.71,6.69,0.00,0.0000,0.0000
70.85,8.275,29.79,7.79,-0.1298,-5.42,2.14,15.71,-2.51,0.00,0.0000,0.0000
79.71,8.173,29.42,8.86,-0.1096,-6.51,2.09,15.71,-6.78,0.00,0.0000,1.0740
88.57,8.037,28.93,9.96,-0.2038,-0.01,2.02,15.71,14.87,0.00,0.0000,0.1287
97.42,7.718,27.79,11.08,-0.1439,-22.08,1.86,15.71,-16.63,0.00,0.0000,0.1634
106.28,7.714,27.77,12.23,-0.0469,9.17,1.86,15.71,-0.89,83.24,0.0265,0.3719
115.14,7.610,27.40,13.38,-0.1340,10.14,1.81,15.71,14.06,90.80,0.0557,0.6894
123.99,7.400,26.64,14.56,-0.0891,14.28,1.71,15.71,11.11,124.34,0.0965,0.9972
132.85,7.400,26.64,15.76,0.0000,13.16,1.71,15.71,-4.27,114.52,0.1345,1.0546
141.70,7.400,26.64,16.96,0.0000,36.27,1.71,15.71,18.85,315.76,0.2395,1.2054
150.56,7.400,26.64,18.16,-0.0000,29.57,1.71,15.71,12.15,257.41,0.3251,1.2480
159.42,7.400,26.64,19.35,-0.0000,38.18,1.71,15.71,20.77,332.41,0.4356,1.2671
168.27,7.400,26.64,20.55,0.0001,48.71,1.71,15.71,31.28,424.06,0.5766,1.3172
177.13,7.400,26.64,21.75,-0.1009,23.09,1.71,15.71,21.81,201.00,0.6434,1.6644
185.99,7.154,25.75,22.96,-0.0745,19.36,1.60,15.71,13.97,162.95,0.6985,2.2648
194.84,7.219,25.99,24.20,0.0140,22.96,1.63,15.71,3.38,194.99,0.7653,2.5117
203.70,7.189,25.88,25.42,-0.0024,-1.17,1.61,15.71,-18.10,0.00,0.7653,1.9325
212.56,7.213,25.97,26.65,0.0291,13.31,1.62,15.71,-8.68,112.99,0.8039,0.7894
221.41,7.260,26.14,27.88,0.0168,5.89,1.65,15.71,-14.15,50.27,0.8210,0.0232
230.27,7.255,26.12,29.10,0.0656,6.45,1.64,15.71,-21.39,55.02,0.8396,0.1247
239.13,7.418,26.71,30.31,0.1818,43.42,1.72,15.71,-3.09,378.95,0.9667,0.2403
247.98,7.686,27.67,31.48,0.0856,23.49,1.84,15.71,-7.76,212.36,1.0359,0.2447
256.84,7.620,27.43,32.64,-0.0408,-1.80,1.81,15.71,-12.80,0.00,1.0359,0.2240
265.70,7.591,27.33,33.80,-0.0678,5.77,1.80,15.71,-0.89,51.50,1.0525,0.3036
274.55,7.461,26.86,34.98,-0.0959,-3.11,1.74,15.71,-5.20,0.00,1.0525,0.2827
283.41,7.364,26.51,36.17,-0.1120,5.76,1.69,15.71,6.27,49.87,1.0691,0.2208
292.27,7.190,25.88,37.39,-0.1452,1.16,1.61,15.71,7.06,9.80,1.0724,0.2111
301.12,7.006,25.22,38.64,-0.1134,-6.43,1.53,15.71,-5.52,0.00,1.0724,0.2190
309.98,6.905,24.86,39.91,-0.1189,5.81,1.49,15.71,7.64,47.23,1.0891,0.1878
318.84,6.699,24.12,41.21,-0.1270,-5.24,1.40,15.71,-2.04,0.00,1.0891,0.0346
327.69,6.571,23.66,42.55,-0.0916,-1.27,1.35,15.71,-3.67,0.00,1.0891,0.0025
336.55,6.452,23.23,43.91,-0.0808,-2.62,1.30,15.71,-6.69,0.00,1.0891,0.0609
345.41,6.349,22.86,45.29,-0.1135,3.84,1.26,15.71,5.03,28.66,1.1001,0.1111
354.26,6.132,22.08,46.71,-0.1158,-5.09,1.17,15.71,-3.44,0.00,1.1001,0.0258
363.12,6.017,21.66,48.17,-0.0695,-1.14,1.13,15.70,-6.85,0.00,1.1001,0.0083
371.98,5.928,21.34,49.65,-0.1046,7.21,1.10,15.70,7.15,50.29,1.1208,0.0523
380.83,5.701,20.52,51.17,-0.1180,-5.76,1.01,15.70,-3.60,0.00,1.1208,0.0355
389.69,5.564,20.03,52.75,-0.0744,-2.19,0.97,15.70,-6.95,0.00,1.1208,0.0107
398.55,5.465,19.67,54.35,-0.0362,-7.40,0.93,15.70,-18.24,0.00,1.1208,0.0472
407.40,5.448,19.61,55.98,-0.8360,-120.65,0.93,15.70,-3.53,0.00,1.1208,0.0839
416.26,0.500,1.80,58.95,0.7280,143.10,0.01,15.70,10.93,84.18,1.1905,0.0024
425.11,7.448,26.81,61.18,1.5859,270.64,1.73,15.71,-0.54,2371.39,2.6585,1.0554
433.97,7.512,27.04,62.37,0.0723,26.19,1.76,15.71,-2.86,231.47,2.7347,1.5872
442.83,7.618,27.42,63.54,-0.0153,25.17,1.81,15.71,10.10,225.55,2.8080,1.5883
451.68,7.476,26.91,64.71,-0.0926,5.73,1.74,15.71,3.08,50.38,2.8244,0.0893
460.54,7.400,26.64,65.90,-0.0320,7.22,1.71,15.71,-5.08,62.82,2.8452,1.1256
469.40,7.400,26.64,67.10,0.0000,2.74,1.71,15.71,-14.68,23.82,2.8531,1.1411
478.25,7.400,26.64,68.30,0.0000,10.53,1.71,15.71,-6.89,91.68,2.8836,0.9686
487.11,7.400,26.64,69.49,-0.0312,14.44,1.71,15.71,2.02,125.68,2.9254,0.6807
495.97,7.324,26.37,70.70,-0.0615,12.16,1.67,15.71,4.61,104.81,2.9604,0.5031
504.82,7.251,26.10,71.91,-0.0492,6.42,1.64,15.71,-3.06,54.79,2.9789,0.4942
513.68,7.205,25.94,73.14,-0.0390,16.78,1.62,15.71,5.69,142.26,3.0274,0.2975
