distance_m,velocity_ms,velocity_kmh,time_s,acceleration_ms2,force_traction_N,force_drag_N,force_rolling_N,force_grade_N,power_electrical_W,energy_cumulative_Wh,lateral_acceleration_ms2
0.00,0.000,0.00,0.00,0.3385,30.38,0.37,2.93,1.87,114.80,0.0000,0.0000
69.45,6.857,24.68,20.26,0.1963,21.23,0.98,2.93,2.69,104.85,0.6533,0.0001
138.91,7.385,26.59,30.01,-0.0010,7.14,1.58,2.94,2.69,56.26,0.9104,1.1404
208.36,6.837,24.61,39.78,-0.0143,3.45,1.55,2.94,0.02,27.04,0.9583,1.2091
277.82,7.112,25.60,49.74,0.0382,6.11,1.60,2.94,-1.27,48.85,1.0592,0.2283
347.27,7.574,27.26,59.20,0.0063,4.40,1.70,2.94,-0.70,35.99,1.2200,0.1322
416.72,7.234,26.04,68.58,-0.0273,1.22,1.65,2.94,-1.33,10.18,1.2481,0.5284
486.18,7.055,25.40,78.30,-0.0021,2.17,1.59,2.94,-2.20,17.44,1.2740,0.6274
555.63,7.193,25.90,88.05,0.0197,3.49,1.63,2.94,-2.54,28.21,1.3425,0.0040
625.09,7.433,26.76,97.54,0.0380,3.93,1.75,2.94,-3.59,32.85,1.4247,0.3432
694.54,7.893,28.42,106.61,0.0652,4.08,1.97,2.94,-5.68,36.14,1.5117,1.4768
763.99,8.565,30.83,115.05,0.0536,2.33,2.23,2.94,-6.84,21.59,1.6002,0.1642
833.45,8.786,31.63,123.05,0.0004,1.23,2.35,2.94,-4.10,12.08,1.6123,0.0458
902.90,8.572,30.86,131.05,-0.0615,2.20,2.22,2.94,1.62,20.74,1.6539,2.1995
972.36,7.753,27.91,139.56,-0.0813,3.95,1.90,2.94,5.16,33.74,1.7079,0.0327
1041.81,7.134,25.68,148.89,-0.0408,5.42,1.64,2.94,3.88,43.69,1.8238,0.7499
1111.26,6.984,25.14,158.73,-0.0052,6.66,1.54,2.94,2.57,51.93,1.9404,0.7450
1180.72,7.032,25.31,168.64,0.0013,8.83,1.54,2.94,4.26,68.51,2.1089,1.8828
1250.17,7.011,25.24,178.54,-0.0087,7.83,1.52,2.94,4.02,60.60,2.3172,0.0017
1319.63,6.859,24.69,188.55,-0.0152,5.89,1.50,2.94,2.59,45.39,2.4435,0.0081
