distance_m,velocity_ms,velocity_kmh,time_s,acceleration_ms2,force_traction_N,force_drag_N,force_rolling_N,force_grade_N,power_electrical_W,energy_cumulative_Wh,lateral_acceleration_ms2
0.00,6.800,24.48,0.00,-0.0316,4.11,1.44,2.93,2.09,48.30,0.0000,0.0080
4.41,6.779,24.41,0.65,-0.0118,5.77,1.44,2.93,2.28,64.19,0.0087,0.0267
8.83,6.785,24.42,1.30,0.0346,9.49,1.44,2.93,2.54,98.48,0.0232,0.0378
13.24,6.824,24.57,1.95,0.0880,13.76,1.46,2.93,2.81,136.02,0.0443,0.0735
17.65,6.898,24.83,2.59,0.1389,17.91,1.49,2.94,3.13,172.44,0.0720,0.0997
22.07,7.002,25.21,3.23,0.1827,21.20,1.53,2.94,3.12,202.39,0.1054,0.0203
26.48,7.128,25.66,3.85,0.2110,23.11,1.59,2.94,2.87,221.65,0.1428,0.0000
30.89,7.263,26.15,4.47,0.2092,22.81,1.65,2.94,2.65,222.51,0.1817,0.0000
35.31,7.383,26.58,5.07,0.1638,19.28,1.70,2.94,2.44,194.36,0.2179,0.0022
39.72,7.459,26.85,5.66,0.0787,12.71,1.73,2.94,2.18,136.17,0.2464,0.0603
44.13,7.476,26.91,6.25,-0.0169,5.33,1.74,2.94,1.91,63.12,0.2628,0.0888
48.55,7.439,26.78,6.85,-0.0760,0.85,1.73,2.94,1.85,12.93,0.2671,0.0164
52.96,7.386,26.59,7.44,-0.0842,0.42,1.70,2.94,2.05,7.24,0.2671,0.0000
57.38,7.339,26.42,8.04,-0.0785,0.86,1.68,2.94,2.09,12.49,0.2695,0.0000
61.79,7.291,26.25,8.64,-0.0773,0.37,1.66,2.94,1.53,5.44,0.2713,0.0000
66.20,7.245,26.08,9.25,-0.0732,0.16,1.64,2.94,1.04,2.45,0.2713,0.0000
70.62,7.202,25.93,9.86,-0.0763,0.16,1.62,2.94,1.29,2.43,0.2721,0.0000
75.03,7.152,25.75,10.48,-0.0762,0.70,1.60,2.94,1.84,9.66,0.2721,0.3095
79.44,7.108,25.59,11.10,-0.0798,0.83,1.58,2.94,2.26,11.55,0.2754,0.8135
83.86,7.053,25.39,11.72,-0.0878,0.25,1.55,2.94,2.30,3.63,0.2761,0.3240
88.27,6.998,25.19,12.35,-0.0810,0.53,1.53,2.94,2.10,7.47,0.2767,0.0935
92.68,6.951,25.02,12.98,-0.0552,2.61,1.51,2.94,2.27,31.79,0.2787,0.1326
97.10,6.928,24.94,13.62,-0.0208,5.46,1.50,2.94,2.57,62.54,0.2879,0.1290
101.51,6.924,24.93,14.25,0.0004,7.11,1.50,2.94,2.65,78.55,0.3009,0.1997
105.92,6.929,24.94,14.89,0.0106,8.07,1.50,2.94,2.85,87.48,0.3157,0.2953
110.34,6.938,24.98,15.53,0.0133,8.80,1.50,2.94,3.37,94.24,0.3318,0.3760
114.75,6.946,25.00,16.16,0.0092,8.72,1.51,2.94,3.59,93.61,0.3490,0.5559
119.16,6.949,25.02,16.80,-0.0004,7.43,1.51,2.94,3.02,81.65,0.3649,0.7695
123.58,6.945,25.00,17.43,-0.0095,6.41,1.51,2.94,2.68,72.11,0.3778,0.8777
127.99,6.937,24.97,18.07,-0.0127,6.60,1.50,2.94,3.11,73.79,0.3903,0.8914
132.40,6.929,24.94,18.71,-0.0107,7.23,1.50,2.94,3.59,79.69,0.4039,0.9219
136.82,6.924,24.92,19.34,-0.0054,8.37,1.50,2.94,4.33,90.10,0.4185,0.9521
141.23,6.922,24.92,19.98,0.0008,10.10,1.50,2.94,5.61,105.72,0.4358,1.0484
145.64,6.925,24.93,20.62,0.0043,11.23,1.50,2.94,6.48,115.79,0.4560,1.0666
150.06,6.928,24.94,21.26,0.0037,11.51,1.50,2.94,6.80,118.29,0.4768,1.0947
154.47,6.929,24.95,21.89,-0.0025,11.37,1.50,2.93,7.13,117.07,0.4978,1.0793
158.88,6.925,24.93,22.53,-0.0184,10.08,1.50,2.93,7.03,105.54,0.5182,1.1020
163.30,6.906,24.86,23.17,-0.0488,7.38,1.49,2.93,6.60,80.60,0.5352,1.1539
167.71,6.862,24.70,23.81,-0.0922,3.95,1.47,2.93,6.42,46.30,0.5469,1.1322
172.13,6.787,24.43,24.46,-0.1204,1.81,1.44,2.93,6.41,23.24,0.5518,1.1486
176.54,6.705,24.14,25.11,-0.1295,0.97,1.40,2.93,6.28,12.72,0.5553,1.3255
180.95,6.616,23.82,25.77,-0.1346,0.35,1.37,2.93,6.07,4.70,0.5564,1.6306
185.37,6.526,23.49,26.44,-0.1350,0.46,1.33,2.93,6.25,6.02,0.5570,1.8495
189.78,6.434,23.16,27.13,-0.1152,1.91,1.30,2.93,6.27,22.56,0.5587,1.9934
194.19,6.368,22.93,27.81,-0.0634,4.91,1.27,2.93,5.43,52.77,0.5656,1.9768
198.61,6.346,22.85,28.51,0.0206,9.49,1.26,2.93,3.76,92.88,0.5790,1.7590
203.02,6.397,23.03,29.20,0.1277,15.20,1.28,2.93,1.47,140.38,0.6014,1.5876
207.43,6.521,23.48,29.89,0.2186,19.86,1.33,2.93,-0.69,179.80,0.6326,1.2093
211.85,6.691,24.09,30.55,0.2628,21.65,1.40,2.93,-2.26,197.95,0.6688,0.7553
216.26,6.868,24.72,31.20,0.2557,20.52,1.47,2.93,-2.93,192.94,0.7051,0.3148
220.67,7.021,25.27,31.84,0.2106,17.57,1.53,2.94,-2.59,171.61,0.7378,0.0086
225.09,7.133,25.68,32.46,0.1464,13.79,1.58,2.94,-1.63,141.16,0.7651,0.0932
