distance_m,velocity_ms,velocity_kmh,time_s,acceleration_ms2,force_traction_N,force_drag_N,force_rolling_N,force_grade_N,power_electrical_W,energy_cumulative_Wh,lateral_acceleration_ms2
0.00,6.800,24.48,0.00,0.0646,11.30,1.45,2.93,2.09,114.86,0.0000,0.0080
4.41,6.842,24.63,0.65,0.0615,11.26,1.46,2.93,2.28,114.83,0.0206,0.0272
8.83,6.879,24.77,1.29,0.0534,10.93,1.48,2.93,2.54,112.47,0.0412,0.0389
13.24,6.910,24.88,1.93,0.0434,10.47,1.49,2.94,2.81,108.84,0.0607,0.0753
17.65,6.935,24.97,2.57,0.0340,10.10,1.50,2.94,3.13,105.91,0.0798,0.1008
22.07,6.954,25.03,3.20,0.0255,9.47,1.51,2.94,3.12,100.48,0.0982,0.0201
26.48,6.967,25.08,3.84,0.0182,8.67,1.52,2.94,2.87,93.43,0.1152,0.0000
30.89,6.977,25.12,4.47,0.0122,8.01,1.52,2.94,2.65,87.47,0.1311,0.0000
35.31,6.983,25.14,5.10,0.0074,7.46,1.52,2.94,2.44,82.33,0.1460,0.0020
39.72,6.986,25.15,5.73,0.0039,6.93,1.52,2.94,2.18,77.39,0.1600,0.0529
44.13,6.988,25.16,6.37,0.0020,6.52,1.52,2.94,1.91,73.52,0.1731,0.0775
48.55,6.989,25.16,7.00,0.0022,6.47,1.52,2.94,1.85,73.04,0.1858,0.0144
52.96,6.990,25.17,7.63,0.0022,6.68,1.53,2.94,2.05,75.05,0.1988,0.0000
57.38,6.992,25.17,8.26,-0.0021,6.39,1.53,2.94,2.09,72.28,0.2121,0.0000
61.79,6.988,25.16,8.89,-0.0122,5.08,1.52,2.94,1.53,59.22,0.2241,0.0000
66.20,6.976,25.11,9.52,-0.0205,3.97,1.52,2.94,1.04,47.90,0.2329,0.0000
70.62,6.962,25.06,10.16,-0.0183,4.38,1.51,2.94,1.29,52.01,0.2409,0.0000
75.03,6.953,25.03,10.79,-0.0086,5.65,1.51,2.94,1.84,64.69,0.2512,0.2926
79.44,6.951,25.02,11.43,-0.0004,6.68,1.51,2.94,2.26,74.68,0.2638,0.7779
83.86,6.952,25.03,12.06,0.0024,6.92,1.51,2.94,2.30,77.03,0.2776,0.3148
88.27,6.954,25.03,12.70,0.0013,6.64,1.51,2.94,2.10,74.39,0.2909,0.0923
92.68,6.954,25.03,13.33,0.0003,6.74,1.51,2.94,2.27,75.26,0.3038,0.1327
97.10,6.954,25.04,13.97,0.0004,7.04,1.51,2.94,2.57,78.18,0.3175,0.1300
101.51,6.955,25.04,14.60,0.0010,7.17,1.51,2.94,2.65,79.37,0.3314,0.2015
105.92,6.955,25.04,15.24,0.0022,7.46,1.51,2.94,2.85,82.08,0.3454,0.2975
110.34,6.957,25.05,15.87,0.0032,8.05,1.51,2.94,3.37,87.64,0.3603,0.3782
114.75,6.959,25.05,16.50,0.0012,8.13,1.51,2.94,3.59,88.38,0.3763,0.5580
119.16,6.959,25.05,17.14,-0.0046,7.12,1.51,2.94,3.02,78.92,0.3914,0.7716
123.58,6.954,25.03,17.77,-0.0098,6.39,1.51,2.94,2.68,71.98,0.4041,0.8798
127.99,6.946,25.01,18.41,-0.0110,6.73,1.51,2.94,3.11,75.15,0.4168,0.8938
132.40,6.940,24.98,19.04,-0.0091,7.36,1.50,2.94,3.59,80.97,0.4307,0.9248
136.82,6.935,24.97,19.68,-0.0053,8.37,1.50,2.94,4.33,90.31,0.4454,0.9552
141.23,6.933,24.96,20.32,-0.0010,9.98,1.50,2.94,5.61,104.75,0.4626,1.0517
145.64,6.934,24.96,20.95,0.0018,11.05,1.50,2.94,6.48,114.33,0.4825,1.0694
150.06,6.935,24.97,21.59,0.0029,11.46,1.50,2.94,6.80,117.91,0.5030,1.0971
154.47,6.937,24.97,22.23,0.0030,11.79,1.50,2.94,7.13,120.86,0.5241,1.0818
158.88,6.939,24.98,22.86,0.0020,11.61,1.50,2.94,7.03,119.31,0.5457,1.1066
163.30,6.940,24.98,23.50,-0.0006,10.99,1.50,2.94,6.60,113.86,0.5663,1.1653
167.71,6.938,24.98,24.13,-0.0051,10.48,1.50,2.94,6.42,109.32,0.5860,1.1575
172.13,6.933,24.96,24.77,-0.0131,9.87,1.50,2.94,6.41,103.83,0.6049,1.1987
176.54,6.922,24.92,25.41,-0.0270,8.70,1.49,2.93,6.28,93.08,0.6227,1.4124
180.95,6.899,24.84,26.05,-0.0478,6.93,1.48,2.93,6.07,76.46,0.6379,1.7728
185.37,6.861,24.70,26.69,-0.0719,5.29,1.47,2.93,6.25,60.49,0.6499,2.0441
189.78,6.806,24.50,27.33,-0.0892,4.00,1.45,2.93,6.27,47.19,0.6595,2.2309
194.19,6.745,24.28,27.98,-0.0776,4.01,1.42,2.93,5.43,46.88,0.6669,2.2176
198.61,6.705,24.14,28.64,-0.0219,6.47,1.41,2.93,3.76,70.20,0.6766,1.9635
203.02,6.716,24.18,29.30,0.0632,10.52,1.41,2.93,1.47,106.72,0.6925,1.7502
207.43,6.788,24.44,29.95,0.1463,14.58,1.44,2.93,-0.69,142.50,0.7154,1.3101
211.85,6.906,24.86,30.60,0.1989,16.98,1.49,2.94,-2.26,164.81,0.7438,0.8044
216.26,7.042,25.35,31.23,0.2014,16.56,1.55,2.94,-2.93,163.65,0.7739,0.3309
220.67,7.159,25.77,31.85,0.1522,13.28,1.59,2.94,-2.59,136.99,0.8009,0.0090
225.09,7.230,26.03,32.46,0.0743,8.46,1.63,2.94,-1.63,93.68,0.8209,0.0957
229.50,7.250,26.10,33.07,0.0029,3.80,1.64,2.94,-0.98,46.48,0.8328,0.1145
