0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,Rbob 20°C,0.051,Ohm,,,,,,,,,,,,,,,,,
,,Rbob T,0.0612,Ohm,,,,,,,,,,,,,,,,,
,,Tbob,50.0,°C,,,,,,,,,,,,,,,,,
,,Kt,0.915,N.m/A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Puissance (W),Omega (RPM),,,,,,,,,,,,,,,,,,,
,,50,100.0,150,200.0,250.0,300.0,350.0,400.0,450.0,500.0,,,pertes fer (W),,,,,,,
C (N.m),1,5.235987756,10.47197551,15.70796327,20.94395102,26.17993878,31.41592654,36.65191429,41.88790205,47.1238898,52.35987756,,,,courant par phase (Arms),0.0,2.0,4.0,6.0,8.0,10.0
,2,10.47197551,20.94395102,31.41592654,41.88790205,52.35987756,62.83185307,73.30382858,83.7758041,94.24777961,104.7197551,,,RPM,,,,,,,
,3,15.70796327,31.41592654,47.1238898,62.83185307,78.53981634,94.24777961,109.9557429,125.6637061,141.3716694,157.0796327,,,100,,0.461,1.353,1.362,1.341,1.341,1.335
,4,20.94395102,41.88790205,62.83185307,83.7758041,104.7197551,125.6637061,146.6076572,167.5516082,188.4955592,209.4395102,,,200,,4.71,4.65,4.59,4.56,4.5,4.5
,5,26.17993878,52.35987756,78.53981634,104.7197551,130.8996939,157.0796327,183.2595715,209.4395102,235.619449,261.7993878,,,300,,7.95,7.89,7.8,7.74,7.71,7.71
,6,31.41592654,62.83185307,94.24777961,125.6637061,157.0796327,188.4955592,219.9114858,251.3274123,282.7433388,314.1592654,,,400,,10.38,10.29,10.26,10.17,10.11,10.02
,7,36.65191429,73.30382858,109.9557429,146.6076572,183.2595715,219.9114858,256.5634,293.2153143,329.8672286,366.5191429,,,500,,11.94,11.91,12.06,11.73,11.64,11.61
,8,41.88790205,83.7758041,125.6637061,167.5516082,209.4395102,251.3274123,293.2153143,335.1032164,376.9911184,418.8790205,,,,,,,,,,
,,,,,,,,,,,,,,,pertes joules (W) bobines à 20°C,,,,,,
,,Omega (RPM),,,,,,,,,,,,,courant par phase (Arms),0.0,2.0,4.0,6.0,8.0,10.0
,pertes joules (W),50,100.0,150,200.0,250.0,300.0,350.0,400.0,450.0,500.0,,,,,,,,,,
C (N.m),1,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,0.2192958882,,,,,0.0,0.7248,2.8992,6.5232,11.5968,18.12
